City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Hithadhoo,MV,2021-01-09 18:19:59,-0.6,73.0833,81.3,75,91,11.83
67,East London,ZA,2021-01-09 18:20:00,-33.0153,27.9116,77.0,69,0,17.27
68,Chokurdakh,RU,2021-01-09 18:20:00,70.6333,147.9167,-24.9,87,100,1.83
69,Asau,RO,2021-01-09 18:20:00,46.4333,26.4,32.0,100,75,2.3
70,Matriz De Camaragibe,BR,2021-01-09 18:20:01,-9.1517,-35.5333,87.8,55,20,14.97
71,Touros,BR,2021-01-09 18:20:01,-5.1989,-35.4608,86.0,58,40,16.11
72,Bethel,US,2021-01-09 18:20:01,41.3712,-73.414,30.2,55,1,17.27
73,Edson,CA,2021-01-09 18:20:01,53.5835,-116.4356,17.6,79,20,5.75
74,Miandrivazo,MG,2021-01-09 18:20:02,-19.5167,45.4667,77.2,87,100,3.85
75,Los Rastrojos,VE,2021-01-09 18:20:02,10.0259,-69.2417,84.2,51,40,9.22
76,Turukhansk,RU,2021-01-09 18:20:02,65.8167,87.9833,-10.16,90,91,3.0
77,Avera,US,2021-01-09 18:20:03,33.194,-82.5271,46.0,70,90,8.05
78,Atambua,ID,2021-01-09 18:20:03,-9.1061,124.8925,75.97,87,100,1.1
79,Kudahuvadhoo,MV,2021-01-09 18:20:04,2.6708,72.8944,81.64,77,98,9.95
80,New Norfolk,AU,2021-01-09 18:20:04,-42.7826,147.0587,55.0,68,58,2.19
81,Takoradi,GH,2021-01-09 18:20:04,4.8845,-1.7554,81.45,79,74,9.42
82,Keti Bandar,PK,2021-01-09 18:20:05,24.1447,67.4497,61.05,32,0,14.41
83,Clyde River,CA,2021-01-09 18:20:05,70.4692,-68.5914,1.4,78,75,8.05
84,Qaanaaq,GL,2021-01-09 18:20:05,77.484,-69.3632,-0.96,77,41,4.99
85,Hofn,IS,2021-01-09 18:20:05,64.2539,-15.2082,20.95,82,0,14.36
86,Shediac,CA,2021-01-09 18:20:06,46.2198,-64.5411,33.01,100,90,9.22
87,Yerbogachen,RU,2021-01-09 18:20:06,61.2767,108.0108,-15.05,87,96,4.36
88,Luganville,VU,2021-01-09 18:20:06,-15.5333,167.1667,80.2,78,95,1.01
89,Mar Del Plata,AR,2021-01-09 18:20:06,-38.0023,-57.5575,80.6,47,0,11.5
90,Half Moon Bay,US,2021-01-09 18:15:54,37.4636,-122.4286,55.4,44,1,8.05
91,Vlore,AL,2021-01-09 18:20:07,40.4667,19.4897,58.12,84,99,14.27
92,Arraias,BR,2021-01-09 18:20:07,-12.9288,-46.9437,89.92,45,24,3.09
93,Kodiak,US,2021-01-09 18:20:07,57.79,-152.4072,30.2,93,90,12.01
94,Kapaa,US,2021-01-09 18:19:53,22.0752,-159.319,66.2,88,40,8.05
95,Bathsheba,BB,2021-01-09 18:20:08,13.2167,-59.5167,84.2,70,40,18.41
96,Atuona,PF,2021-01-09 18:20:08,-9.8,-139.0333,78.03,73,87,19.1
97,Pisco,PE,2021-01-09 18:20:08,-13.7,-76.2167,73.4,73,0,8.05
98,Manokwari,ID,2021-01-09 18:20:09,-0.8667,134.0833,78.71,77,99,6.49
99,Ponta Do Sol,PT,2021-01-09 18:20:09,32.6667,-17.1,54.0,73,52,3.0
100,Ucluelet,CA,2021-01-09 18:15:14,48.9329,-125.5528,44.6,57,90,11.5
101,Sa Kaeo,TH,2021-01-09 18:20:09,13.75,102.3333,68.27,60,70,5.88
102,Sao Jose Da Coroa Grande,BR,2021-01-09 18:20:10,-8.8978,-35.1478,82.45,68,39,13.44
103,Smithers,CA,2021-01-09 18:20:10,54.7804,-127.1743,17.6,93,75,3.44
104,Yellowknife,CA,2021-01-09 18:20:11,62.456,-114.3525,10.4,85,75,6.91
105,Praia,CV,2021-01-09 18:15:12,14.9215,-23.5087,75.2,64,75,26.46
106,Nisporeni,MD,2021-01-09 18:20:11,47.0814,28.1783,34.0,86,0,3.44
107,Lavrentiya,RU,2021-01-09 18:20:11,65.5833,-171.0,-12.71,84,0,4.34
108,Leh,IN,2021-01-09 18:20:12,34.1667,77.5833,3.34,62,0,0.63
109,Eyl,SO,2021-01-09 18:20:12,7.9803,49.8164,73.47,62,22,19.82
110,Kendari,ID,2021-01-09 18:18:00,-3.945,122.4989,78.24,87,59,2.89
111,Codajas,BR,2021-01-09 18:20:12,-3.8367,-62.0569,78.64,91,97,4.68
112,Lompoc,US,2021-01-09 18:20:13,34.6391,-120.4579,60.01,67,1,9.19
113,San Patricio,US,2021-01-09 18:20:13,28.017,-97.5169,55.4,71,75,14.97
114,Rudsar,IR,2021-01-09 18:20:13,37.1376,50.288,41.0,81,0,2.3
115,Ouallam,NE,2021-01-09 18:20:13,14.3188,2.0866,86.47,13,52,9.35
116,Beringovskiy,RU,2021-01-09 18:20:13,63.05,179.3167,-18.74,85,35,11.52
117,Sabang,ID,2021-01-09 18:20:14,5.8933,95.3214,80.71,78,100,10.36
118,Carutapera,BR,2021-01-09 18:20:14,-1.195,-46.02,86.2,62,44,10.27
119,Nantucket,US,2021-01-09 18:20:15,41.2835,-70.0995,34.0,86,90,14.97
120,Ahipara,NZ,2021-01-09 18:20:15,-35.1667,173.1667,64.24,87,48,5.77
121,Road Town,VG,2021-01-09 18:18:55,18.4167,-64.6167,82.4,65,20,9.22
122,Weihe,CN,2021-01-09 18:20:15,32.9952,105.3247,27.18,71,99,2.24
123,Busselton,AU,2021-01-09 18:20:16,-33.65,115.3333,66.99,81,54,5.01
124,Butaritari,KI,2021-01-09 18:20:16,3.0707,172.7902,81.57,78,95,20.71
125,Hanzhong,CN,2021-01-09 18:20:16,33.0728,107.0303,32.0,69,91,1.21
126,Hobyo,SO,2021-01-09 18:20:16,5.3505,48.5268,76.37,67,1,22.79
127,Balikpapan,ID,2021-01-09 18:20:08,-1.2675,116.8289,75.74,91,83,2.21
128,Fort Nelson,CA,2021-01-09 18:20:17,58.8053,-122.7002,3.2,85,20,3.44
129,Fortuna,US,2021-01-09 18:20:17,40.5982,-124.1573,48.0,100,1,9.22
130,Tuatapere,NZ,2021-01-09 18:20:18,-46.1333,167.6833,51.01,91,80,1.99
131,Richards Bay,ZA,2021-01-09 18:20:18,-28.783,32.0377,74.41,74,0,9.26
132,Norman Wells,CA,2021-01-09 18:20:19,65.282,-126.8329,3.2,85,75,3.44
133,Muli,MV,2021-01-09 18:20:19,2.9167,73.5667,82.62,70,100,4.36
134,Norrtalje,SE,2021-01-09 18:20:19,59.758,18.705,33.01,93,93,3.51
135,Garissa,KE,2021-01-09 18:20:19,-0.4536,39.6401,84.94,36,40,4.99
136,Marang,MY,2021-01-09 18:20:20,5.2056,103.2059,80.01,78,40,5.75
137,San Pedro De Macoris,DO,2021-01-09 18:20:20,18.4616,-69.2972,86.0,62,40,8.05
138,Mogzon,RU,2021-01-09 18:20:20,51.7435,111.9606,-6.7,89,42,6.73
139,Bubaque,GW,2021-01-09 18:20:20,11.2833,-15.8333,80.1,72,33,19.04
140,Saskylakh,RU,2021-01-09 18:20:21,71.9167,114.0833,-18.56,86,100,11.21
141,Khatanga,RU,2021-01-09 18:20:21,71.9667,102.5,-28.26,86,94,1.9
142,Kissidougou,GN,2021-01-09 18:20:21,9.1848,-10.0999,89.87,30,12,2.93
143,Goundam,ML,2021-01-09 18:20:21,16.4145,-3.6708,84.94,13,0,4.9
144,Pecos,US,2021-01-09 18:20:22,31.4229,-103.4932,32.0,93,90,16.33
