City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition
149,Fort Nelson,CA,58.8053,-122.7002,5.0,85,75,2.3,broken clouds
150,Saskylakh,RU,71.9167,114.0833,-24.52,85,100,9.53,overcast clouds
151,Roebourne,AU,-20.7833,117.1333,105.71,16,39,10.78,scattered clouds
152,Norman Wells,CA,65.282,-126.8329,-4.0,92,20,4.61,few clouds
153,Mehamn,NO,71.0357,27.8492,15.13,93,3,17.74,clear sky
154,Bengkulu,ID,-3.8004,102.2655,84.4,64,99,7.25,overcast clouds
155,Mumford,GH,5.2618,-0.759,77.32,91,7,8.25,clear sky
156,Batan,CR,10.0844,-83.341,72.54,84,87,4.38,overcast clouds
157,Severo-Kurilsk,RU,50.6789,156.125,21.15,87,100,19.3,overcast clouds
158,Kissamos,GR,35.4939,23.6569,63.0,77,40,12.3,scattered clouds
159,Upata,VE,8.0086,-62.3989,73.0,98,100,3.4,overcast clouds
160,Chicama,PE,-7.8447,-79.1469,70.0,79,94,5.35,overcast clouds
161,Kushva,RU,58.2906,59.7592,-13.0,90,100,8.19,overcast clouds
162,Half Moon Bay,US,37.4636,-122.4286,51.01,87,20,8.05,few clouds
163,Shingu,JP,33.7333,135.9833,39.2,48,40,17.27,scattered clouds
164,Pathein,MM,16.7833,94.7333,89.92,45,22,6.89,few clouds
165,Pisco,PE,-13.7,-76.2167,68.0,88,0,5.75,clear sky
166,Amapa,BR,1.0,-52.0,71.78,98,100,3.89,overcast clouds
167,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,25.0,65,68,9.08,broken clouds
168,Plover,US,44.4564,-89.544,23.0,100,90,4.32,mist
169,Krasnosilka,UA,46.6226,30.7742,30.2,100,0,4.47,clear sky
170,Kashi,CN,39.4547,75.9797,15.8,86,20,2.24,mist
171,Hithadhoo,MV,-0.6,73.0833,81.32,73,80,10.56,broken clouds
172,Denpasar,ID,-8.65,115.2167,86.0,79,75,9.22,broken clouds
173,Umm Lajj,SA,25.0213,37.2685,76.42,43,0,1.41,clear sky
174,Plettenberg Bay,ZA,-34.0527,23.3716,65.59,86,56,8.19,light rain
175,Galveston,US,29.3669,-94.9669,53.01,58,90,13.8,overcast clouds
176,Bambous Virieux,MU,-20.3428,57.7575,84.99,94,75,6.91,light rain
177,Vestmannaeyjar,IS,63.4427,-20.2734,27.86,91,32,7.76,scattered clouds
178,Sochi,RU,43.6,39.7303,59.0,44,90,6.71,overcast clouds
179,Atherton,GB,53.5237,-2.4935,36.0,86,100,3.51,overcast clouds
180,Katangli,RU,51.7102,143.2326,-7.15,86,99,8.75,overcast clouds
181,Dingle,PH,10.9995,122.6711,75.88,89,100,12.41,light rain
182,Ahipara,NZ,-35.1667,173.1667,66.72,78,58,9.78,broken clouds
183,Yining,CN,29.0361,114.5636,46.13,46,23,3.6,few clouds
184,Goure,NE,13.9835,10.2704,70.0,22,0,8.01,clear sky
185,Ponta Delgada,PT,37.7333,-25.6667,50.0,71,75,3.44,broken clouds
186,Nemuro,JP,43.3236,145.575,24.8,42,20,10.36,few clouds
187,Caconda,AO,-13.7333,15.0667,57.4,73,94,3.98,overcast clouds
188,Karasuyama,JP,36.65,140.15,44.6,21,20,4.61,few clouds
189,Xiaoweizhai,CN,26.1903,107.5125,40.26,60,83,7.2,broken clouds
190,Cap Malheureux,MU,-19.9842,57.6142,84.99,74,0,8.99,clear sky
191,Cidreira,BR,-30.1811,-50.2056,77.14,81,82,18.88,broken clouds
192,Marsa Matruh,EG,31.3525,27.2453,64.65,55,5,6.04,clear sky
193,Saint Helens,GB,53.45,-2.7333,37.4,87,90,2.3,overcast clouds
194,Korla,CN,41.7597,86.1469,21.78,79,0,8.14,clear sky
195,Iroquois Falls,CA,48.7669,-80.6831,15.8,92,90,3.44,light snow
196,Dalby,AU,-27.1833,151.2667,84.0,41,59,3.0,broken clouds
197,Pangnirtung,CA,66.1451,-65.7125,6.17,78,99,1.23,overcast clouds
198,Leningradskiy,RU,69.3833,178.4167,-20.49,85,95,5.35,overcast clouds
199,Port Hardy,CA,50.6996,-127.4199,42.8,87,90,28.77,light rain
200,Xingcheng,CN,40.6167,120.7167,23.79,69,0,8.1,clear sky
201,Guanare,VE,9.0418,-69.7421,71.51,87,34,2.95,scattered clouds
202,Greymouth,NZ,-42.4667,171.2,59.34,86,97,11.03,light rain
203,Bilibino,RU,68.0546,166.4372,-27.15,82,39,0.89,scattered clouds
204,Chapais,CA,49.7834,-74.8492,15.8,92,90,2.3,mist
205,Oleksandrivka,UA,48.9634,32.2349,29.52,94,5,9.26,clear sky
206,San Patricio,US,28.017,-97.5169,53.01,87,90,16.11,overcast clouds
207,Gushikawa,JP,26.3544,127.8686,62.6,51,90,14.97,overcast clouds
208,Bage,BR,-31.3314,-54.1069,73.4,83,0,6.91,clear sky
209,Moses Lake,US,47.1301,-119.2781,37.4,87,90,5.75,overcast clouds
210,Aklavik,CA,68.2191,-135.0107,1.4,85,8,5.75,clear sky
211,Rio Blanco,MX,18.8333,-97.15,58.33,77,100,1.74,overcast clouds
212,Ixtapa,MX,20.7,-105.2,65.98,84,25,2.08,scattered clouds
213,Saint-Philippe,RE,-21.3585,55.7679,82.4,69,0,8.05,clear sky
214,Riyadh,SA,24.6877,46.7219,55.4,71,0,2.3,mist
215,Novyy Urengoy,RU,66.0833,76.6333,-27.38,85,15,10.65,few clouds
216,Businga,CD,3.3333,20.8833,74.91,70,6,1.54,clear sky
217,Yulara,AU,-25.2406,130.9889,96.8,9,0,6.91,clear sky
218,Leshan,CN,29.5623,103.7639,46.36,54,80,4.76,broken clouds
219,Beloha,MG,-25.1667,45.05,89.13,45,0,6.15,clear sky
220,Grindavik,IS,63.8424,-22.4338,21.2,79,75,6.91,broken clouds
221,Seymchan,RU,62.8833,152.4333,-27.2,84,97,1.28,overcast clouds
222,Marawi,PH,7.9986,124.2928,82.99,85,33,7.0,scattered clouds
223,Jumla,NP,29.2747,82.1838,57.56,26,87,4.79,overcast clouds
224,Sanchi,IN,23.4833,77.7333,77.43,53,1,5.77,clear sky
225,Carnot,CF,4.9409,15.8665,68.47,31,95,1.54,overcast clouds
226,Chifeng,CN,42.2683,118.9636,13.93,88,0,8.55,clear sky
227,Chara,RU,56.9064,118.2631,-5.6,79,97,2.84,overcast clouds
228,Opuwo,NA,-18.0607,13.84,65.39,71,86,1.43,overcast clouds
229,Gabu,GW,12.2833,-14.2167,66.33,46,56,4.63,broken clouds
230,Oxbow,CA,49.2333,-102.1676,17.6,86,1,10.36,clear sky
231,Dhidhdhoo,MV,6.8833,73.1,82.53,69,100,6.44,overcast clouds
232,Harindanga,IN,22.0383,88.3214,82.4,47,63,6.44,haze
233,Kaitangata,NZ,-46.2817,169.8464,62.01,61,91,14.0,overcast clouds
234,Ostrovnoy,RU,68.0531,39.5131,4.62,92,72,12.37,broken clouds
235,Washougal,US,45.5826,-122.3534,44.01,75,1,20.71,clear sky
236,Port Macquarie,AU,-31.4333,152.9167,77.0,57,75,11.5,broken clouds
237,Souillac,MU,-20.5167,57.5167,80.6,94,75,6.91,light rain
238,Berdigestyakh,RU,62.0989,126.6992,-29.65,83,100,3.22,overcast clouds
239,Hobyo,SO,5.3505,48.5268,78.03,65,18,26.08,few clouds
240,Longonjo,AO,-12.9067,15.2533,60.37,80,98,1.12,overcast clouds
241,Anqing,CN,30.5092,117.0506,42.76,49,78,7.63,broken clouds
242,Esperance,AU,-33.8667,121.9,71.6,64,90,24.16,overcast clouds
243,Verkhniy Avzyan,RU,53.5289,57.5372,19.36,96,100,10.11,snow
244,Nivala,FI,63.9167,24.9667,10.33,95,98,8.37,overcast clouds
245,Morgantown,US,39.6295,-79.9559,28.0,74,1,3.44,clear sky
246,Terra Boa,BR,-23.7681,-52.4442,69.21,90,24,4.83,few clouds
247,Provideniya,RU,64.3833,-173.3,-6.93,82,0,4.9,clear sky
248,Kjollefjord,NO,70.9457,27.3465,16.02,93,5,21.97,clear sky
249,Terney,RU,45.0503,136.6092,4.48,78,57,9.57,broken clouds
250,Dunedin,NZ,-45.8742,170.5036,62.78,62,92,11.52,overcast clouds
251,Chernyshevskiy,RU,63.0128,112.4714,-27.81,86,26,2.93,scattered clouds
252,Yumen,CN,40.2833,97.2,18.43,71,41,38.45,scattered clouds
253,Bumba,CD,2.1833,22.4667,75.58,72,9,1.95,clear sky
254,Kirakira,SB,-10.4544,161.9205,84.27,72,85,5.17,overcast clouds
255,Pacific Grove,US,36.6177,-121.9166,46.4,71,1,5.75,clear sky
256,Butterworth,MY,5.3991,100.3638,88.0,58,20,10.36,few clouds
257,San Pedro,PH,14.35,121.0167,84.2,54,75,14.97,broken clouds
258,Puerto Escondido,MX,15.85,-97.0667,74.28,82,10,3.09,clear sky
259,Airai,TL,-8.9266,125.4092,70.93,99,100,1.43,overcast clouds
260,Brae,GB,60.3964,-1.353,35.6,87,40,18.41,light snow
261,Udachnyy,RU,66.4167,112.4,-28.5,83,100,5.75,overcast clouds
262,Mahebourg,MU,-20.4081,57.7,80.6,94,75,6.91,light rain
263,Takab,IR,36.4009,47.1133,30.54,55,51,1.16,broken clouds
264,Biak,ID,-0.9131,122.8766,85.44,65,43,1.28,light rain
265,Mirabad,AF,30.4362,61.8383,49.28,34,0,2.39,clear sky
266,Dongsheng,CN,39.8161,109.9776,13.66,59,100,17.22,overcast clouds
267,Amarillo,US,35.222,-101.8313,30.2,93,90,8.05,snow
268,Gusau,NG,12.1628,6.6614,65.07,28,0,9.98,clear sky
269,Soyo,AO,-6.1349,12.3689,76.53,81,18,3.76,few clouds
270,Turukhansk,RU,65.8167,87.9833,-12.96,86,96,6.55,overcast clouds
271,Prince Albert,CA,53.2001,-105.7677,12.2,92,90,8.05,mist
272,Longyearbyen,SJ,78.2186,15.6401,30.2,69,75,13.8,broken clouds
273,Jalu,LY,29.0331,21.5482,61.93,42,0,8.01,clear sky
274,Rabat,MA,33.9911,-6.8401,46.4,93,75,12.66,light rain
275,Pevek,RU,69.7008,170.3133,-23.17,88,100,5.01,overcast clouds
276,Jefferson City,US,38.5767,-92.1735,30.2,64,90,2.95,overcast clouds
277,Altay,CN,47.8667,88.1167,3.58,77,9,2.28,clear sky
278,Moose Factory,CA,51.2585,-80.6094,21.2,100,90,2.3,mist
279,Mulege,MX,26.8833,-111.9833,53.67,51,0,3.42,clear sky
280,Shenzhen,CN,22.5455,114.0683,59.0,33,96,6.73,overcast clouds
281,Waingapu,ID,-9.6567,120.2641,86.32,67,71,4.97,moderate rain
282,Meulaboh,ID,4.1363,96.1285,83.43,71,71,5.86,broken clouds
283,Faanui,PF,-16.4833,-151.75,81.18,75,55,14.83,light rain
284,Yellowknife,CA,62.456,-114.3525,8.6,85,1,11.5,clear sky
285,Shubarshi,KZ,48.5872,57.1869,22.28,93,98,12.03,overcast clouds
286,Salinopolis,BR,-0.6136,-47.3561,79.03,85,72,10.45,broken clouds
287,Awjilah,LY,29.1081,21.2869,62.6,41,0,9.06,clear sky
288,Kosovska Mitrovica,XK,42.8833,20.8667,32.0,80,75,8.05,broken clouds
289,Mao,ES,39.8885,4.2658,50.0,71,0,11.5,clear sky
290,Porto Franco,BR,-6.3383,-47.3992,73.0,94,99,3.2,light rain
291,Invermere,CA,50.5167,-116.0354,17.17,89,74,2.06,broken clouds
292,Fairlie,GB,55.756,-4.8556,39.99,92,100,5.93,overcast clouds
293,Biltine,TD,14.5333,20.9167,65.79,26,1,14.0,clear sky
294,Diego De Almagro,CL,-26.3667,-70.05,55.74,57,0,0.98,clear sky
295,Yeppoon,AU,-23.1333,150.7333,82.4,54,90,13.8,overcast clouds
296,Berlevag,NO,70.8578,29.0864,16.32,93,35,20.38,scattered clouds
297,Aras,ES,42.5617,-2.356,33.8,93,90,12.66,light snow
298,Necochea,AR,-38.5473,-58.7368,66.0,82,0,20.02,clear sky
299,Nossa Senhora Das Dores,BR,-10.4917,-37.1933,80.6,78,20,10.36,few clouds
300,Payakumbuh,ID,-0.2202,100.6308,74.77,82,100,3.53,heavy intensity rain
301,Eydhafushi,MV,5.1033,73.0708,81.66,75,100,7.11,overcast clouds
302,Wilkie,CA,52.4168,-108.7014,15.8,92,90,4.61,light rain
303,Ilulissat,GL,69.2167,-51.1,19.4,49,40,11.5,scattered clouds
304,Nuuk,GL,64.1835,-51.7216,26.6,100,90,8.21,light snow
305,Livingstonia,MW,-10.606,34.1063,69.31,75,100,1.9,overcast clouds
306,Nizhniy Kuranakh,RU,58.8353,125.4869,-11.47,87,100,7.83,overcast clouds
307,Rio Tercero,AR,-32.173,-64.1141,66.0,91,0,6.04,clear sky
308,Hokitika,NZ,-42.7167,170.9667,59.68,86,92,11.34,overcast clouds
309,Booue,GA,-0.0921,11.9385,73.15,92,6,1.95,clear sky
310,Meadow Lake,US,34.8014,-106.5436,34.0,60,90,13.8,snow
311,Kununurra,AU,-15.7667,128.7333,98.6,44,5,4.61,clear sky
312,Capelinha,BR,-17.6914,-42.5158,64.02,99,100,2.08,light rain
313,Champerico,GT,14.3,-91.9167,64.0,96,53,6.87,light rain
314,El Zapote,MX,21.0667,-102.8,55.65,74,29,5.01,scattered clouds
315,Montclair,US,40.8259,-74.209,32.0,55,1,3.44,clear sky
316,Teknaf,BD,20.8624,92.3058,82.08,38,7,6.2,clear sky
317,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,67.12,92,53,4.94,broken clouds
318,Pringsewu,ID,-5.3582,104.9744,86.92,62,75,3.38,light rain
319,Port Augusta,AU,-32.5,137.7667,100.0,14,10,10.36,clear sky
320,Potosi,BO,-19.5836,-65.7531,46.47,77,100,3.85,overcast clouds
321,Kemri,IN,28.8167,79.2167,74.79,38,0,12.12,clear sky
322,Ambilobe,MG,-13.2,49.05,84.25,74,13,1.41,moderate rain
323,Salalah,OM,17.0151,54.0924,69.8,30,0,10.36,clear sky
324,Rocha,UY,-34.4833,-54.3333,59.49,91,29,3.8,scattered clouds
325,Miles City,US,46.4083,-105.8406,28.4,86,90,3.44,overcast clouds
326,Mecca,SA,21.4267,39.8261,74.03,60,86,2.13,light rain
327,Verkhniye Tatyshly,RU,56.2912,55.8575,13.46,96,100,18.75,snow
328,Kangaatsiaq,GL,68.3065,-53.4641,15.58,84,100,9.51,overcast clouds
329,Agadez,NE,19.75,10.25,61.38,30,0,7.0,clear sky
330,Manakara,MG,-22.1333,48.0167,80.11,79,32,6.49,light rain
331,Atbasar,KZ,51.8,68.3333,11.66,93,100,11.86,overcast clouds
332,Hualmay,PE,-11.0964,-77.6139,69.15,88,92,6.96,overcast clouds
333,Evensk,RU,61.95,159.2333,-2.7,79,21,12.82,few clouds
334,Batagay,RU,67.6333,134.6333,-22.43,86,100,1.59,overcast clouds
335,Ola,RU,59.5833,151.2833,3.36,85,100,8.77,overcast clouds
336,Roald,NO,62.5833,6.1333,33.8,86,75,20.71,light snow
337,Mackay,AU,-21.15,149.2,75.2,100,90,19.57,light rain
338,Ostersund,SE,63.1792,14.6357,21.2,86,40,6.91,scattered clouds
339,Inongo,CD,-1.95,18.2667,72.25,90,25,3.11,scattered clouds
340,Ancud,CL,-41.8697,-73.8203,53.01,87,0,8.05,clear sky
341,Alice Town,BS,25.7167,-79.3,64.54,58,0,10.96,clear sky
342,Naryan-Mar,RU,67.6713,53.087,-8.9,89,0,5.55,clear sky
343,Lompoc,US,34.6391,-120.4579,53.6,71,1,9.22,clear sky
344,Montepuez,MZ,-13.1256,38.9997,77.16,85,97,1.77,light rain
345,Lavrentiya,RU,65.5833,-171.0,-12.01,85,7,7.2,clear sky
346,The Valley,AI,18.217,-63.0578,78.8,78,20,9.22,few clouds
347,Tabas,IR,33.5959,56.9244,37.4,30,0,2.3,clear sky
348,Harper,LR,4.375,-7.7169,78.24,88,12,8.39,few clouds
349,Limoeiro,BR,-7.8747,-35.4503,77.0,73,40,3.44,scattered clouds
350,Narsaq,GL,60.9167,-46.05,42.8,39,90,26.46,overcast clouds
351,Nakhon Thai,TH,17.1006,100.8374,86.0,41,0,6.91,clear sky
352,Kingaroy,AU,-26.5333,151.8333,77.0,61,90,12.66,overcast clouds
353,Te Anau,NZ,-45.4167,167.7167,56.98,73,85,6.02,overcast clouds
354,Dunmore East,IE,52.1514,-6.9861,30.99,94,54,5.44,broken clouds
355,Belmonte,BR,-15.8631,-38.8828,77.0,83,20,4.61,few clouds
356,Zhigansk,RU,66.7697,123.3711,-29.81,84,100,4.94,overcast clouds
357,Capitao Poco,BR,-1.7464,-47.0594,71.91,97,90,2.26,overcast clouds
358,Ugoofaaru,MV,5.6667,73.0,81.79,77,100,7.58,overcast clouds
359,Hofn,IS,64.2539,-15.2082,21.6,85,0,13.96,clear sky
360,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,67,0,4.61,clear sky
361,Krasnorechenskiy,RU,44.6265,135.3532,-4.54,84,89,10.54,overcast clouds
362,Asilah,MA,35.465,-6.0348,48.2,66,40,18.41,scattered clouds
363,Tshane,BW,-24.0196,21.8684,74.12,63,100,5.08,light rain
364,Kiama,AU,-34.6833,150.8667,81.0,66,0,8.99,clear sky
365,Moskovskiy,RU,55.5991,37.355,17.6,86,75,8.95,snow
366,Barabai,ID,-2.5833,115.3833,89.78,64,65,2.04,broken clouds
367,Belyy Yar,RU,53.6039,91.3903,15.8,48,0,11.18,clear sky
368,Santa Isabel,BR,-23.3156,-46.2214,71.6,88,75,3.44,broken clouds
369,Sao Filipe,CV,14.8961,-24.4956,70.81,72,95,16.89,overcast clouds
370,Lorengau,PG,-2.0226,147.2712,85.39,61,99,5.82,overcast clouds
371,Yalvac,TR,38.2956,31.1778,46.15,87,70,3.85,broken clouds
372,Masuguru,TZ,-11.3667,38.4167,76.3,91,100,5.08,light rain
373,Altus,US,34.6381,-99.334,37.4,70,90,10.36,overcast clouds
374,Olafsvik,IS,64.8945,-23.7142,24.67,85,54,5.06,broken clouds
375,Wuxi,CN,31.5689,120.2886,43.0,25,74,1.01,broken clouds
376,Awbari,LY,26.5921,12.7805,62.51,30,58,15.32,broken clouds
377,Catamarca,AR,-28.4696,-65.7852,78.01,73,10,4.0,clear sky
378,Usinsk,RU,65.9939,57.5281,-8.18,90,0,5.86,clear sky
379,Yabelo,ET,4.8833,38.0833,67.84,32,75,9.86,broken clouds
380,Havoysund,NO,70.9963,24.6622,19.4,73,0,18.41,clear sky
381,Mutoko,ZW,-17.397,32.2268,67.35,92,96,4.14,overcast clouds
382,Ponta Do Sol,PT,32.6667,-17.1,52.0,78,65,3.0,broken clouds
383,Vestmanna,FO,62.1564,-7.1664,28.4,93,75,9.22,light snow
384,Olinda,BR,-8.0089,-34.8553,77.0,73,40,3.44,scattered clouds
385,Geraldton,AU,-28.7667,114.6,80.6,57,88,25.32,overcast clouds
386,Ukiah,US,39.1502,-123.2078,46.0,81,1,2.51,clear sky
387,Liwale,TZ,-9.7667,37.9333,70.14,94,100,4.38,light rain
388,Sola,VU,-13.8833,167.55,86.0,79,40,5.53,scattered clouds
389,Linxia,CN,35.6003,103.2064,18.36,69,100,4.59,overcast clouds
390,Sumbe,AO,-11.2061,13.8437,74.17,78,93,4.23,overcast clouds
391,Kushmurun,KZ,52.4503,64.6311,9.61,95,100,15.37,snow
392,Skjervoy,NO,70.0311,20.9714,22.1,92,1,25.34,clear sky
393,Kharan,PK,28.5833,65.4167,46.15,43,0,3.11,clear sky
394,Cayenne,GF,4.9333,-52.3333,75.2,100,90,12.06,moderate rain
395,Nizhnedevitsk,RU,51.5419,38.3657,30.2,80,90,11.18,overcast clouds
396,Kutum,SD,14.2,24.6667,57.15,34,0,11.99,clear sky
397,North Battleford,CA,52.7834,-108.2847,15.8,92,90,4.61,light rain
398,Kautokeino,NO,69.0125,23.0412,6.44,93,91,18.86,overcast clouds
399,Presidente Medici,BR,-11.1753,-61.9014,73.9,83,87,2.35,overcast clouds
400,Buzmeyin,TM,38.0507,58.2056,50.0,53,0,4.61,smoke
401,Bonavista,CA,48.6499,-53.1147,33.01,100,67,1.14,broken clouds
402,Port Moresby,PG,-9.4431,147.1797,87.8,62,75,11.5,broken clouds
403,Vallenar,CL,-28.5708,-70.7581,58.69,66,0,0.34,clear sky
404,Saluzzo,IT,44.6464,7.4862,30.99,86,90,3.44,overcast clouds
405,Mapimi,MX,25.8167,-103.85,55.0,55,16,2.08,few clouds
406,Hermiston,US,45.8404,-119.2895,39.2,87,90,3.44,mist
407,Methoni,GR,36.8197,21.7049,61.0,100,86,12.33,fog
